model;year;engineSize;transmission;mileage;fuelType;tax;mpg;price
1;2015;1.2;1;21747;4;125;54.3;7497
2;2018;1.0;1;17734;4;145;57.7;13997
2;2018;1.0;1;16558;4;145;60.1;11497
1;2018;1.1;1;13040;4;145;64.2;9997
5;2019;1.0;1;7810;4;145;53.3;14997
15;2014;1.2;1;32385;4;30;57.7;5997
1;2017;1.0;1;19200;4;145;65.7;10497
1;2018;1.1;1;20507;4;145;64.2;9997
1;2014;1.6;1;27864;4;145;47.9;9697
2;2017;1.0;1;19686;4;145;61.4;10497
2;2017;1.0;1;26437;4;145;61.4;9774
1;2017;1.2;1;7987;4;145;54.3;8997
2;2017;1.0;1;9667;4;145;61.4;10990
1;2018;1.1;1;11667;4;145;64.2;9690
1;2018;1.1;1;15683;4;145;64.2;9997
4;2017;1.5;1;17689;1;145;64.2;17950
2;2018;2.0;1;20132;4;145;41.5;18250
1;2018;1.0;1;8256;4;145;65.7;10490
1;2018;1.1;1;14562;4;145;64.2;9690
1;2018;1.0;1;19686;4;145;65.7;10190
1;2018;1.1;1;10845;4;145;64.2;10290
1;2018;1.1;1;7689;4;145;64.2;10997
2;2018;1.0;1;20191;4;145;61.4;10950
1;2018;1.1;1;16390;4;145;64.2;9890
2;2018;1.0;1;17804;4;145;57.7;13497
4;2018;1.5;1;35831;1;145;64.2;15737
13;2017;1.0;1;16803;4;30;56.5;8890
1;2017;1.1;1;18250;4;145;64.2;9697
1;2018;1.0;1;13474;4;145;65.7;10990
2;2018;1.0;1;3943;4;145;57.7;14650
2;2018;1.0;1;7269;4;145;61.4;11997
1;2018;1.1;1;10109;4;145;64.2;9890
2;2018;1.0;1;13842;4;145;57.7;13490
2;2018;1.0;1;7255;4;145;57.7;14497
1;2016;1.0;1;16421;4;0;65.7;8750
1;2017;1.0;3;18331;4;145;54.3;11390
2;2017;1.0;1;16122;4;145;60.1;10390
1;2017;1.0;1;13130;4;145;65.7;10697
2;2017;1.0;1;8915;4;145;61.4;10997
2;2016;1.5;1;30085;1;0;74.3;9997
1;2018;1.1;1;5786;4;145;64.2;10497
2;2018;1.0;1;21567;4;145;57.7;11990
5;2018;1.0;1;10816;4;145;54.3;14690
1;2015;1.2;1;30901;4;30;54.3;6997
1;2018;1.0;1;8159;4;145;65.7;11997
5;2018;1.0;1;6369;4;145;54.3;12390
1;2018;1.0;1;10956;4;145;65.7;10997
2;2018;1.0;1;24396;4;145;57.7;12497
1;2017;1.1;1;30178;4;145;64.2;8490
1;2018;1.0;1;16601;4;145;60.1;14497
4;2017;1.5;1;17407;1;145;64.2;16497
2;2017;1.0;1;25782;4;145;60.1;10981
2;2017;1.0;1;6321;4;145;61.4;10690
2;2017;1.5;1;70143;1;145;74.3;8690
1;2018;1.1;1;6327;4;145;64.2;9697
2;2018;1.0;1;15230;4;145;57.7;13797
5;2015;1.5;1;28985;4;160;44.8;8997
1;2018;1.0;1;6127;4;145;62.8;12850
2;2018;1.0;1;5050;4;145;57.7;14541
1;2018;1.0;1;20146;4;145;65.7;9790
4;2018;1.5;1;16284;1;145;54.3;17997
1;2018;1.5;1;7874;4;145;40.3;15990
1;2017;1.2;1;5262;4;125;54.3;8750
2;2017;1.0;1;18676;4;145;60.1;10997
2;2017;2.0;1;17988;4;145;41.5;15490
2;2017;1.0;1;19419;4;145;60.1;11390
2;2017;1.0;1;29942;4;145;61.4;9997
1;2017;1.2;1;5806;4;145;54.3;8497
1;2018;1.1;1;9823;4;145;64.2;10697
1;2018;1.1;1;12875;4;145;64.2;9890
2;2018;1.0;1;14991;4;145;60.1;11490
4;2018;1.5;1;7654;4;145;45.6;16997
1;2018;1.0;1;6732;4;145;58.9;11820
1;2018;1.1;1;14455;4;145;64.2;10497
1;2017;1.1;1;17027;4;145;64.2;9350
2;2017;2.0;1;24692;4;145;41.5;16690
1;2017;1.1;1;10864;4;145;64.2;9661
2;2017;1.0;1;17434;4;145;60.1;11841
2;2017;1.0;1;33274;4;145;60.1;10497
1;2017;1.1;1;10458;4;145;64.2;8750
7;2017;2.0;2;9641;3;145;56.5;18290
2;2016;2.3;1;28170;4;235;36.7;23997
2;2017;2.3;1;1973;4;235;36.7;27497
4;2017;2.0;1;17957;1;125;60.1;14490
13;2013;1.6;1;20881;1;20;70.6;6890
2;2019;1.5;1;3892;1;145;80.7;17981
1;2018;1.0;1;12981;4;145;65.7;11350
16;2018;2.0;2;8878;1;145;52.3;18741
4;2017;1.5;1;22139;1;30;64.2;13900
2;2017;1.0;1;6348;4;20;61.4;10997
2;2018;1.0;1;8348;4;145;60.1;16990
1;2017;1.2;1;20518;4;125;54.3;8697
1;2017;1.0;1;12425;4;20;62.8;10997
2;2018;1.0;1;13589;4;145;60.1;12497
1;2018;1.0;1;10131;4;145;65.7;11997
5;2018;1.0;1;9398;4;145;54.3;13841
1;2018;1.1;1;9615;4;145;64.2;10497
2;2018;2.0;1;7122;4;145;41.5;20990
2;2018;1.0;1;10561;4;145;60.1;16750
2;2018;1.0;1;18608;4;145;58.9;14497
8;2017;1.2;1;27914;4;150;57.7;6789
1;2014;1.6;3;28882;4;145;47.9;7700
1;2017;1.2;1;9965;4;125;54.3;8997
4;2017;2.0;1;19744;1;145;60.1;15997
2;2018;1.0;1;13588;4;145;57.7;13497
2;2018;1.0;1;11502;4;145;61.4;11997
1;2015;1.0;1;37090;4;0;65.7;6997
1;2017;1.2;1;17616;4;125;54.3;8997
4;2017;2.0;1;13416;1;125;60.1;17497
1;2017;1.2;1;31803;4;125;54.3;7997
1;2017;1.2;1;14487;4;145;54.3;8497
5;2018;1.0;1;14868;4;145;54.3;12997
6;2019;1.5;2;13807;1;145;56.5;12950
1;2015;1.6;3;23459;4;145;47.9;8700
4;2018;2.0;2;33421;1;145;54.3;17800
13;2013;1.0;1;66449;4;30;57.7;5700
1;2014;1.6;1;49939;1;0;78.5;6200
4;2017;2.0;1;17035;1;145;54.3;16750
7;2015;2.0;1;54803;1;20;68.9;8973
1;2016;1.0;2;2874;4;0;57.7;12995
2;2018;2.0;1;9836;1;145;67.3;17750
5;2017;1.0;1;14554;4;125;53.3;10250
5;2014;1.5;1;16323;1;30;61.4;8000
2;2018;1.0;1;8286;4;150;60.1;11500
5;2017;1.0;1;31691;4;125;53.3;9500
4;2017;2.0;1;25951;1;150;60.1;14500
5;2019;1.0;1;7684;4;150;51.4;16000
1;2018;1.1;1;12490;4;150;64.2;10000
1;2019;1.0;1;3685;4;150;56.5;12500
1;2019;1.1;1;7775;4;145;55.4;11000
1;2017;1.2;1;17932;4;125;54.3;8690
1;2018;1.1;1;7469;4;145;64.2;9997
1;2018;1.1;1;15464;4;145;64.2;9997
2;2017;1.0;1;34606;4;145;60.1;9997
1;2017;1.2;1;27838;4;125;54.3;7997
2;2017;1.0;1;18980;4;145;61.4;10997
2;2017;1.0;1;16546;4;145;61.4;10797
8;2017;1.2;1;24427;4;145;57.7;7997
4;2017;1.5;1;28930;1;30;64.2;13997
1;2018;1.0;1;11201;4;145;58.9;12000
1;2018;1.0;1;36775;4;145;65.7;11500
8;2017;1.2;1;18055;4;145;57.7;7500
2;2018;1.5;3;15983;1;145;67.3;14000
5;2017;1.0;1;10133;4;150;52.3;10000
8;2018;1.2;1;13647;4;150;57.7;7500
4;2017;2.0;1;26931;1;150;54.3;16000
4;2019;1.5;1;10889;1;150;45.6;21000
5;2018;1.0;1;10654;4;145;54.3;13500
12;2016;2.0;1;16030;1;125;56.5;16000
4;2016;2.0;1;34986;1;145;54.3;14000
8;2018;1.2;1;9193;4;145;57.7;8000
2;2014;1.6;1;25462;1;20;67.3;7000
1;2018;1.0;1;18459;4;145;65.7;10500
1;2018;1.0;1;13547;4;150;65.7;10000
1;2016;1.0;1;42195;4;20;62.8;8500
1;2019;1.0;1;6659;4;145;58.9;14500
1;2019;1.0;1;5650;4;145;58.9;14500
2;2017;2.0;1;17000;4;200;41.5;16000
6;2016;1.5;3;21065;1;20;64.2;9500
5;2019;1.0;1;15500;4;145;53.3;14500
4;2018;1.5;1;6000;1;145;64.2;16500
5;2017;1.0;1;21114;4;125;53.3;10200
5;2014;1.0;1;19671;4;125;53.3;8500
1;2017;1.1;1;26000;4;150;64.2;9400
1;2013;1.6;1;62000;4;150;47.9;8800
6;2013;1.6;1;72937;1;30;61.4;6250
4;2016;2.0;1;32600;1;145;54.3;15500
2;2015;1.6;3;43450;4;160;44.8;8465
1;2014;1.2;1;41638;4;30;54.3;5465
1;2018;1.0;1;9601;4;145;65.7;11300
1;2014;1.0;1;27741;4;0;65.7;7600
1;2017;1.2;1;12759;4;125;54.3;9200
2;2018;1.0;1;12180;4;145;57.7;13620
1;2016;1.2;1;12944;4;125;54.3;9000
2;2018;1.0;1;19388;4;145;60.1;16800
5;2018;1.0;1;16197;4;145;54.3;14750
1;2018;1.0;1;10978;4;145;65.7;10400
2;2018;1.0;1;10755;4;145;57.7;14500
8;2018;1.2;1;10388;4;145;57.7;8750
1;2013;1.0;1;38609;4;0;65.7;6500
2;2018;1.5;1;21825;1;145;74.3;13500
2;2018;1.5;1;7565;1;145;74.3;13750
1;2013;1.2;1;13969;4;30;54.3;7000
5;2017;1.0;1;24178;4;145;52.3;10650
4;2017;1.5;1;19027;1;145;64.2;15500
1;2013;1.2;1;63884;4;30;54.3;5600
10;2016;1.5;1;12548;1;30;64.2;11500
1;2020;1.0;1;10;4;145;55.4;19718
2;2018;1.0;1;7917;4;145;58.9;15500
1;2017;1.0;1;16235;4;0;65.7;9310
8;2018;1.2;1;9000;4;150;47.9;9000
5;2017;1.5;1;33375;1;150;64.2;10000
4;2019;2.0;3;1378;1;145;42.2;26000
5;2019;1.0;1;3207;4;145;53.3;16100
2;2019;1.0;1;8985;4;145;60.1;18000
1;2019;1.0;3;1265;4;145;48.7;18000
1;2016;1.0;1;25587;4;0;65.7;8800
2;2017;1.0;1;26807;4;145;60.1;11700
1;2018;1.0;1;17138;4;145;65.7;11200
1;2017;1.2;1;24293;4;125;54.3;7860
1;2015;1.5;1;43441;1;0;88.3;7160
2;2015;2.0;1;31322;4;205;41.5;14465
1;2016;1.5;1;9920;1;0;78.5;10497
1;2015;1.2;1;30540;4;125;54.3;5999
5;2016;1.0;1;11800;4;125;53.3;8999
1;2013;1.0;1;27320;4;0;65.7;7710
2;2014;1.6;1;51986;1;20;67.3;7695
1;2018;1.0;1;28573;4;145;56.5;11000
1;2015;1.0;1;30007;4;20;62.8;8495
1;2016;1.0;2;19424;4;0;57.7;9190
2;2016;1.5;1;33980;1;0;74.3;8830
2;2017;1.0;1;26546;4;20;61.4;8500
1;2018;1.0;3;35407;4;145;54.3;11300
1;2018;1.0;1;29620;4;145;65.7;12000
1;2018;1.0;3;4213;4;145;54.3;13500
4;2014;2.0;1;39187;1;125;60.1;9000
14;2017;2.0;1;13826;1;145;48.7;20000
4;2015;2.0;1;45394;1;125;60.1;9000
1;2018;1.1;1;22496;4;145;64.2;9000
1;2017;1.0;1;16364;4;0;65.7;11298
1;2017;1.0;1;14565;4;0;65.7;10998
6;2017;1.0;1;24842;4;30;55.4;9798
2;2017;1.5;1;22876;1;0;74.3;11498
1;2017;1.0;1;24625;4;0;65.7;8998
1;2013;1.2;1;33762;4;30;54.3;6298
2;2016;1.0;1;31221;4;20;61.4;8398
16;2017;2.0;3;40782;1;145;52.3;17995
4;2017;1.5;2;5040;4;235;38.2;17495
2;2017;1.0;3;31100;4;125;51.4;9795
1;2017;1.2;1;17953;4;145;54.3;8797
1;2016;1.0;1;15990;4;0;65.7;8690
2;2017;1.0;1;14205;4;145;60.1;9990
2;2017;1.0;1;9612;4;145;57.7;12997
1;2017;1.0;1;10388;4;145;65.7;10971
1;2017;1.1;1;19367;4;145;64.2;9350
2;2017;2.0;1;16967;4;145;41.5;18690
1;2019;1.5;1;6760;4;145;40.3;16690
2;2018;1.0;1;10567;4;145;60.1;16750
7;2015;1.5;1;10599;4;145;48.7;12941
1;2018;1.1;1;18516;4;145;64.2;9490
2;2018;1.0;1;19097;4;145;60.1;11890
2;2017;1.0;1;27489;4;20;61.4;10497
1;2018;1.0;1;12267;4;145;65.7;12995
2;2018;1.0;1;13864;4;145;60.1;11980
1;2013;1.6;3;37576;4;145;47.9;7980
4;2017;2.0;3;18471;1;145;54.3;19998
2;2019;1.0;1;16410;4;145;60.1;16998
2;2018;1.0;1;9303;4;145;57.7;13998
2;2019;2.0;2;4166;1;145;64.2;19898
4;2017;2.0;1;23763;1;145;54.3;15498
2;2018;2.0;1;3774;4;145;41.5;21798
1;2019;1.0;1;11689;4;145;58.9;13998
2;2017;1.5;1;24014;1;145;74.3;10998
1;2013;1.6;3;24950;4;145;47.9;7298
7;2017;2.0;1;44456;1;30;65.7;11998
2;2019;1.0;1;18443;4;145;58.9;14798
2;2017;1.0;1;22158;4;20;60.1;10890
2;2013;1.0;1;37002;4;20;58.9;6790
2;2016;1.5;1;20058;1;0;74.3;9890
8;2018;1.2;1;13000;4;145;57.7;7797
12;2017;2.0;1;28115;1;145;56.5;15990
2;2019;1.0;1;6837;4;150;60.1;16997
2;2018;1.0;1;8954;4;145;60.1;16997
1;2015;1.2;1;30381;4;30;54.3;6995
8;2018;1.2;1;10529;4;145;57.7;6995
4;2017;2.0;1;44106;1;125;60.1;14998
4;2017;1.5;2;8245;4;235;38.2;17298
4;2018;1.5;1;19409;1;145;54.3;16998
4;2019;1.5;1;7669;4;145;34.4;17498
2;2017;1.5;1;49742;1;150;74.3;10998
2;2016;1.5;1;40519;1;0;74.3;9470
4;2014;1.6;1;35210;4;200;42.8;10298
1;2016;1.0;1;27154;4;20;62.8;9998
1;2017;1.2;1;10602;4;145;54.3;8998
5;2017;1.0;1;36562;4;125;52.3;10498
2;2016;1.0;1;25325;4;20;60.1;10995
1;2018;1.1;1;54400;4;145;64.2;7995
1;2018;1.1;1;8236;4;145;64.2;10000
13;2017;1.4;1;14552;4;145;47.1;10500
2;2016;2.0;1;35000;4;205;41.5;14500
13;2014;1.6;3;21050;4;160;44.1;7795
13;2017;1.4;1;6997;4;150;47.1;9998
10;2017;1.0;1;15371;4;30;54.3;11498
2;2018;1.0;1;4215;4;145;58.9;14990
8;2016;1.2;1;13057;4;30;57.7;7995
2;2016;1.0;1;10492;4;20;60.1;11280
5;2016;1.5;1;26638;4;160;44.8;9495
1;2017;1.0;1;34242;4;0;65.7;8995
13;2013;1.4;1;45159;4;145;47.1;6495
5;2015;1.5;1;21426;4;160;44.8;8845
13;2017;1.0;1;12245;4;145;56.5;10995
13;2015;1.0;1;41204;4;30;57.7;8495
1;2015;1.0;1;16130;4;0;65.7;8995
2;2018;2.0;1;8488;1;150;70.6;16998
6;2016;2.0;3;15335;1;125;58.9;9998
10;2015;1.5;1;25969;1;30;64.2;9998
1;2018;1.1;1;6188;4;150;55.4;10498
6;2017;1.6;1;11005;4;150;44.1;11498
2;2018;1.0;1;11206;4;145;57.7;13498
1;2017;1.0;3;3545;4;30;57.7;10498
1;2015;1.2;1;11052;4;125;54.3;6998
1;2016;1.0;1;23271;4;20;62.8;9798
1;2016;1.0;1;22517;4;0;65.7;10498
1;2018;1.1;1;6487;4;145;64.2;9990
1;2018;1.0;1;14919;4;145;65.7;10750
1;2018;1.1;1;14220;4;145;64.2;10497
2;2018;1.0;1;14064;4;145;57.7;13341
2;2018;1.0;1;7888;4;145;60.1;12997
1;2017;1.0;1;9813;4;145;65.7;10650
4;2017;2.0;1;27678;1;145;60.1;13990
1;2017;1.1;1;17855;4;145;64.2;9997
2;2017;1.0;1;28310;4;145;60.1;10490
4;2017;1.5;1;14210;1;145;64.2;14490
2;2015;1.5;1;25199;1;0;74.3;8998
4;2019;1.5;1;6514;1;150;45.6;17998
2;2015;1.5;1;12511;4;125;51.4;10298
2;2016;1.5;1;25625;1;0;74.3;9599
1;2017;1.0;1;14523;4;145;62.8;10898
1;2014;1.0;1;63000;4;20;62.8;6797
2;2017;1.0;1;20967;4;145;60.1;10797
2;2018;1.0;1;8005;4;145;57.7;13997
1;2017;1.0;1;18558;4;145;65.7;10397
5;2019;1.0;1;3381;4;145;53.3;14390
1;2018;1.0;1;25318;4;145;65.7;9997
2;2018;1.0;1;12565;4;145;57.7;13497
2;2017;2.0;1;20112;4;145;41.5;18997
1;2017;1.0;1;17595;4;0;65.7;9997
2;2019;1.0;1;6927;4;145;60.1;17890
4;2015;2.0;3;34032;1;145;52.3;11995
2;2019;2.0;2;1561;1;145;64.2;20695
4;2019;1.5;2;1916;4;145;28.8;21500
2;2018;1.0;1;5726;4;145;57.7;14700
1;2018;1.1;1;4352;4;145;64.2;10000
1;2020;1.0;3;10;4;145;48.7;17500
8;2017;1.2;1;29942;4;145;57.7;8000
1;2017;1.2;1;32137;4;125;54.3;8600
1;2018;1.0;1;20531;4;145;65.7;10700
1;2018;1.0;1;4864;4;145;60.1;12400
1;2018;1.1;1;8050;4;150;55.4;10498
2;2015;1.0;1;44149;4;20;60.1;7298
4;2019;1.5;1;9312;1;150;54.3;18498
1;2018;1.5;1;19790;4;150;40.3;15998
2;2018;1.0;1;21456;4;150;60.1;10998
2;2017;1.5;1;41068;1;0;74.3;10698
1;2017;1.0;1;9977;4;150;65.7;11698
6;2017;1.5;1;24107;1;20;68.9;10998
1;2016;1.5;1;35075;1;0;78.5;7498
5;2017;1.0;1;8421;4;125;53.3;10998
1;2018;1.0;1;9452;4;145;65.7;12000
5;2017;1.0;1;10545;4;150;52.3;12000
2;2018;1.0;1;14984;4;150;57.7;13250
1;2014;1.0;1;35315;4;0;65.7;8750
7;2016;2.0;1;43998;1;30;64.2;11400
5;2017;1.0;1;22588;4;125;52.3;11000
1;2017;1.0;1;22414;4;145;65.7;10500
2;2016;1.0;1;43792;4;20;61.4;9200
1;2017;1.0;1;15856;4;145;65.7;11750
4;2017;1.5;1;36363;1;30;64.2;14000
6;2013;1.6;1;27841;1;30;61.4;6270
4;2017;1.5;1;14252;1;30;64.2;13970
4;2017;2.0;3;9992;1;145;54.3;16770
2;2013;1.0;1;65607;4;20;58.9;5290
5;2017;1.0;1;23544;4;125;52.3;8940
2;2016;1.0;1;34887;4;20;60.1;8249
2;2017;1.0;1;26345;4;145;61.4;9900
5;2017;1.0;1;15818;4;145;53.3;9790
2;2017;1.5;1;41093;1;145;74.3;8790
5;2018;1.0;3;3271;4;145;48.7;16698
1;2013;1.2;1;72101;4;30;54.3;4998
7;2014;1.6;1;57025;4;165;44.1;7995
2;2018;1.0;1;7804;4;145;57.7;12995
2;2015;1.5;1;48000;1;0;74.3;7995
1;2013;1.5;1;63980;1;0;76.4;5495
2;2015;1.5;1;66992;1;0;74.3;6990
7;2015;1.5;1;37114;4;145;48.7;10329
5;2018;1.0;1;13221;4;145;53.3;13495
2;2017;1.5;1;31913;1;145;74.3;10345
1;2014;1.0;1;28652;4;0;65.7;7700
5;2017;1.0;1;26892;4;145;52.3;10250
2;2018;1.0;1;11285;4;150;60.1;12000
5;2017;1.0;1;17815;4;150;52.3;10750
5;2018;1.0;1;20500;4;150;54.3;14000
1;2017;1.1;1;27768;4;150;64.2;9400
13;2014;1.6;3;34732;4;160;44.1;7000
1;2019;1.0;1;1702;4;145;55.4;16000
2;2017;1.0;1;22945;4;145;61.4;10380
1;2017;1.2;1;21218;4;150;54.3;8700
4;2016;2.0;1;22015;1;125;60.1;14250
1;2015;1.0;1;19505;4;0;65.7;6998
1;2017;1.0;1;28741;4;20;62.8;9898
6;2017;1.5;1;18492;1;20;68.9;11298
2;2019;1.0;1;17640;4;150;58.9;14698
4;2017;1.5;2;7293;4;150;38.2;16998
5;2017;1.0;1;25050;4;125;53.3;9998
6;2017;1.5;1;20646;1;150;68.9;11998
6;2017;1.5;1;31743;1;20;68.9;10698
2;2018;1.0;1;24417;4;145;57.7;13500
8;2018;1.2;1;13220;4;145;57.7;8800
8;2018;1.2;1;8355;4;145;57.7;8750
1;2015;1.6;3;36003;4;145;47.9;7895
1;2015;1.6;1;21529;4;145;47.9;10795
16;2017;2.0;1;27769;1;125;56.5;17995
1;2018;1.0;1;12064;4;145;65.7;11200
4;2018;2.0;3;22508;1;150;54.3;16601
8;2018;1.2;1;8411;4;145;54.3;8990
1;2016;1.0;1;14088;4;0;65.7;8990
1;2017;1.0;1;10185;4;150;65.7;10990
6;2016;1.5;1;37249;1;20;68.9;9990
5;2018;1.0;1;10426;4;150;54.3;14490
12;2017;2.0;3;21021;1;145;51.4;19490
1;2018;1.0;1;30304;4;145;56.5;10990
4;2016;2.0;3;45472;1;145;54.3;14990
4;2019;1.5;1;5003;4;145;39.2;18990
2;2014;1.0;1;35201;4;30;56.5;7676
15;2014;1.2;1;35824;4;30;57.7;4560
2;2016;2.0;1;25780;1;20;67.3;14237
2;2018;1.0;1;8900;4;145;57.7;14280
13;2016;1.0;1;25558;4;30;55.4;8180
4;2017;2.0;3;19016;1;145;54.3;16990
1;2014;1.0;1;28877;4;0;65.7;7090
2;2013;1.6;1;57890;1;20;67.3;5902
1;2016;1.0;1;23484;4;20;62.8;9698
1;2017;1.0;3;5863;4;0;57.7;11998
1;2018;1.0;1;17406;4;145;65.7;14000
6;2017;1.5;1;12951;1;20;68.9;11500
4;2017;2.0;1;23000;1;125;60.1;16500
5;2016;1.5;1;29387;1;30;64.2;10250
1;2016;1.2;1;5501;4;125;54.3;10000
2;2017;1.0;1;10053;4;145;60.1;11000
1;2017;1.0;1;12478;4;145;65.7;12000
6;2018;1.0;1;26996;4;145;55.4;10298
1;2015;1.0;1;21672;4;0;65.7;8698
11;2017;1.5;2;6051;1;145;56.6;15998
1;2017;1.2;1;13761;4;125;54.3;8798
4;2017;2.0;1;18597;1;125;60.1;14498
12;2015;1.5;1;13300;4;160;43.5;15698
4;2019;2.0;1;15281;1;145;38.2;17849
2;2018;1.0;1;3345;4;145;61.4;12390
1;2017;1.0;1;22878;4;145;65.7;10280
4;2017;2.0;3;25003;1;145;54.3;17420
2;2019;1.0;1;15178;4;145;60.1;13990
1;2017;1.1;1;14615;4;150;64.2;8991
13;2013;1.6;3;55920;4;165;44.1;5572
1;2017;1.5;1;13705;1;0;78.5;9498
6;2017;1.5;1;46400;1;20;68.9;8998
10;2016;1.5;3;16541;1;30;58.9;10798
2;2016;1.5;1;46377;1;0;74.3;9298
1;2017;1.0;1;11760;4;20;62.8;11698
1;2016;1.0;1;9906;4;20;62.8;10498
9;2016;2.0;1;30382;1;235;44.1;19498
9;2016;2.0;1;45668;1;200;44.8;16998
12;2017;2.0;3;12232;1;125;52.3;18298
4;2019;2.0;3;11245;1;150;47.9;19498
1;2018;1.1;1;10578;4;150;55.4;10298
1;2015;1.2;1;45258;4;125;54.3;6210
1;2015;1.0;1;31024;4;0;65.7;8290
13;2016;1.4;1;6768;4;145;47.1;8100
2;2014;1.0;1;44081;4;20;58.9;6780
6;2016;1.5;1;51838;1;20;68.9;7480
2;2016;1.0;1;35529;4;20;60.1;9499
1;2016;1.0;1;33434;4;20;62.8;8750
10;2017;1.5;1;29396;1;30;64.2;11998
1;2018;1.1;1;13148;4;150;55.4;10298
5;2017;1.5;3;31788;4;165;44.8;9998
10;2017;1.0;1;48934;4;150;54.3;10998
6;2017;1.5;1;23046;1;20;68.9;9998
6;2017;1.0;1;25003;4;30;55.4;9998
1;2017;1.0;1;21314;4;150;65.7;9998
2;2017;1.5;1;21861;1;0;74.3;9500
1;2015;1.0;1;9892;4;0;65.7;8360
15;2014;1.2;1;34000;4;30;57.7;4650
2;2013;1.0;1;48659;4;20;58.9;6100
1;2015;1.2;1;26822;4;125;54.3;6490
2;2013;1.6;1;55253;1;20;67.3;5960
1;2019;1.5;1;1220;4;145;40.3;17490
2;2017;1.5;1;11233;1;145;74.3;12990
2;2019;1.5;1;10000;1;145;74.3;15690
4;2020;2.0;1;1128;1;145;39.2;25490
1;2016;1.0;1;21832;4;20;62.8;10490
2;2020;1.5;2;185;1;145;54.3;22990
4;2017;2.0;3;22704;1;150;54.3;15495
7;2015;2.0;1;82094;1;20;68.9;7999
2;2019;1.0;1;2200;4;145;49.6;18999
4;2019;1.5;1;7980;4;145;39.2;21595
1;2018;1.5;1;23800;1;145;58.9;12350
2;2014;1.6;1;50000;1;0;76.4;6701
1;2017;1.0;1;38524;4;145;65.7;8400
1;2013;1.2;1;35183;4;30;54.3;6100
1;2016;1.0;1;15143;4;0;65.7;10200
2;2015;1.5;1;51194;1;0;74.3;8000
1;2016;1.0;1;13492;4;0;65.7;8930
1;2017;1.0;1;10485;4;145;65.7;10170
1;2014;1.2;1;90000;4;30;54.3;4801
2;2015;1.0;1;40000;4;20;60.1;7981
1;2017;1.0;1;25644;4;0;65.7;9690
4;2017;1.5;1;29430;1;30;64.2;12498
2;2014;1.0;1;23540;4;20;60.1;8698
5;2017;1.0;1;15572;4;125;52.3;9498
2;2017;1.5;1;9162;4;125;51.4;13298
4;2015;2.0;1;45309;1;125;60.1;9498
1;2016;1.0;3;662;4;0;57.7;10998
6;2017;1.5;1;15454;1;20;68.9;10498
2;2019;1.0;1;13882;4;145;58.9;14598
4;2018;1.5;1;10557;4;145;39.2;18498
1;2017;1.0;1;7210;4;0;65.7;11998
1;2019;1.0;1;9526;4;145;56.5;12220
1;2018;1.0;1;33763;4;145;56.5;11000
5;2019;1.0;1;6453;4;145;53.3;14491
13;2016;1.5;1;56818;1;20;68.9;5991
1;2017;1.2;1;18934;4;125;54.3;8291
1;2014;1.0;1;30595;4;0;65.7;6891
4;2016;1.5;2;6446;4;240;38.2;15991
5;2017;1.0;1;20651;4;125;52.3;10490
5;2017;1.5;1;15775;4;145;44.8;8991
1;2017;1.0;1;18256;4;145;65.7;9210
1;2017;1.6;1;9476;4;150;47.9;12991
1;2016;1.2;1;11904;4;125;54.3;7991
1;2015;1.6;1;42391;4;145;47.9;10159
13;2017;1.6;3;21812;4;160;44.1;9840
13;2016;1.5;1;22034;1;0;74.4;8137
2;2017;2.0;1;19510;1;20;67.3;17750
2;2019;1.0;1;3758;4;145;60.1;17520
2;2019;1.0;1;2894;4;145;60.1;19230
2;2019;1.0;1;3058;4;145;60.1;17390
1;2018;1.0;1;25943;4;145;65.7;10991
1;2019;1.0;1;10013;4;145;58.9;14287
2;2019;2.3;1;3919;4;145;34.5;26030
2;2019;1.5;2;2662;1;145;50.4;19300
2;2019;2.0;2;6644;1;145;49.6;20390
16;2019;2.0;1;9129;1;145;55.4;26430
2;2019;1.5;1;6984;1;145;61.4;17200
2;2019;2.0;1;4487;1;145;62.8;17800
12;2019;2.0;1;6656;1;145;54.3;27480
1;2018;1.0;1;13674;4;145;58.9;10530
1;2016;1.2;1;18859;4;125;54.3;7790
2;2019;1.0;1;2117;4;145;60.1;17410
2;2019;1.0;1;4892;4;145;60.1;17520
2;2019;1.0;1;2905;4;145;60.1;17390
1;2016;1.0;1;21578;4;0;65.7;8760
1;2016;1.6;3;20940;4;145;47.9;9230
16;2016;2.0;1;25405;1;125;56.5;16387
4;2017;1.5;2;15368;4;235;38.2;15160
2;2018;1.0;1;10286;4;145;58.9;15500
1;2019;1.0;3;15;4;145;48.7;17530
2;2017;1.5;1;11133;1;145;74.3;11200
2;2015;1.0;1;37012;4;20;61.4;7871
4;2017;2.0;1;40984;1;145;54.3;15791
4;2016;2.0;1;67648;1;125;60.1;9950
4;2017;1.5;1;23915;1;150;64.2;13999
1;2017;1.0;1;15443;4;150;65.7;10450
8;2017;1.2;1;2271;4;145;57.7;7991
1;2013;1.0;1;58804;4;0;65.7;6080
7;2016;1.5;1;54719;1;0;78.5;9970
2;2016;2.0;1;36706;1;20;67.3;15291
13;2015;1.6;3;42540;4;160;44.1;7620
1;2018;1.1;1;7147;4;145;64.2;9291
5;2017;1.0;1;24688;4;125;52.3;8791
1;2015;1.0;1;25550;4;0;65.7;8222
